Comment,Designator,JLCPCB Part #,Cost,Stock
CL21B104KBFNNNE,"C1, C2, C3, C5, C6, C7",C136621,0.01,35387
10SVP33M,"C4, C8",C347572,0.51,1251
LTST-C170KRKT,D1,C94868,0.02,100
LTST-C170KSKT,D2,C125091,0.02,100
LTST-C170KGKT,D3,C98221,0.02,100
321040MG0CBK00A01,J1,C601975,0.19,772
104031-0811,J2,C585350,0.53,5903
2N7002LT1G,"Q1, Q2, Q3, Q4, Q5, Q6, Q7,Q8,Q9,Q10",C16338,0.05,5825
AC0805FR-07180RL,"R10,R11,R21,R24,R25,R26",C228347,0.01,245
AC0805FR-071KL,R30,C140870,0.01,31619
AC0805FR-07100KL,"R27,R28,R31",C144587,0.01,2268
AC0805FR-0710KL,R29,C140868,0.01,329825
AC0805FR-07390RL,"R3,R12,R18,R22,R23",C228782,0.01,26920
AC0805FR-07120RL,R4,C228277,0.01,15312
SN74AHCT14DR,U1,C141316,0.16,2690
TXB0104QPWRQ1,U2,C527571,0.88,3551
