Designator,Mid X,Mid Y,Layer,Rotation
C1,79.3750mm,27.9400mm,T,0
C2,65.8812mm,40.5574mm,T,90
C3,25.2412mm,34.0551mm,T,270
C4,53.7850mm,41.5925mm,T,180
C5,45.7200mm,34.0551mm,T,270
C6,79.3750mm,22.2250mm,T,0
C7,88.5825mm,4.1275mm,T,90
C8,70.8025mm,22.8600mm,T,90
D1,1.9050mm,33.9090mm,T,90
D2,1.9050mm,38.3540mm,T,90
D3,1.9050mm,42.7990mm,T,90
J1,34.9250mm,14.6050mm,T,0
J2,80.9424mm,7.2725mm,T,0
P2,36.8300mm,2.5400mm,T,0
P3,54.6100mm,50.8000mm,T,180
P4,30.2260mm,50.8000mm,T,0
P7,95.2500mm,29.2100mm,T,270
Q1,53.3400mm,33.6550mm,T,90
Q2,57.7850mm,33.6550mm,T,90
Q3,48.8950mm,33.6550mm,T,90
Q4,33.6550mm,33.6550mm,T,90
Q5,38.7350mm,33.6550mm,T,90
Q6,28.5750mm,33.6550mm,T,90
Q7,18.4150mm,33.6550mm,T,90
Q8,8.2550mm,33.6550mm,T,0
Q9,8.2550mm,38.1000mm,T,0
Q10,8.2550mm,42.5450mm,T,0
R2,61.3151mm,26.6700mm,T,180
R3,61.2399mm,24.1300mm,T,0
R4,56.8701mm,26.6700mm,T,180
R5,56.7949mm,24.1300mm,T,0
R6,52.4251mm,26.6700mm,T,180
R7,52.3499mm,24.1300mm,T,0
R8,47.9049mm,26.6700mm,T,180
R9,47.9049mm,24.1300mm,T,0
R10,42.9001mm,26.6700mm,T,180
R11,37.8201mm,26.6700mm,T,180
R12,37.7449mm,24.1300mm,T,0
R13,32.6649mm,26.6700mm,T,180
R14,32.6649mm,24.1300mm,T,0
R15,27.6601mm,26.6700mm,T,180
R16,27.5849mm,24.1300mm,T,0
R17,22.5801mm,26.6700mm,T,180
R18,22.5049mm,24.1300mm,T,0
R19,17.5001mm,26.6700mm,T,180
R20,17.4249mm,24.1300mm,T,0
R21,12.4201mm,26.6700mm,T,180
R22,12.3449mm,24.1300mm,T,0
R23,42.8249mm,24.1300mm,T,0
R24,9.5250mm,48.5399mm,T,90
R25,6.0325mm,48.5399mm,T,90
R26,2.5400mm,48.5399mm,T,90
R27,87.6300mm,16.1925mm,T,0
R28,74.4537mm,15.8750mm,T,90
R29,91.1225mm,7.9375mm,T,90
R30,69.5325mm,3.4925mm,T,180
R31,87.6300mm,18.0975mm,T,0
U1,71.7550mm,40.5249mm,T,0
U2,84.4550mm,25.0825mm,T,0
